#Model files used:	unknown
#Model used:	TIEGCM
#Coordinates:	GDZ	sph
#utc_time	c1	c2	c3
#[s]	[R_E]	[R_E]	[R_E]
1679470247.131000	-43.527557	-27.408688	107.000000
1679470290.591000	-43.391907	-30.135818	107.000000
1679470360.793000	-43.298096	-33.918365	107.000000
1679470421.222000	-43.283691	-37.625999	107.000000
1679470492.261000	-43.385437	-41.465122	107.000000
1679470535.335000	-43.522858	-44.173622	107.000000
1679470604.806000	-43.835266	-47.928566	107.000000
1679470651.208000	-44.186035	-50.833149	107.000000
1679470721.542000	-44.838318	-54.619934	107.000000
1679470764.253000	-45.457886	-57.300392	107.000000
1679470834.894000	-46.622253	-61.089760	107.000000
1679470895.776000	-48.229858	-64.775757	107.000000
1679470965.276000	-50.525665	-68.432426	107.000000
1679471008.663000	-52.812592	-71.058899	107.000000
1679471078.302000	-57.406921	-74.594887	107.000000
1679471124.684000	-62.798218	-77.204781	107.000000
1679471194.944000	-74.237732	-80.319153	107.000000
1679471237.729000	-87.560913	-82.126144	107.000008
1679471307.822000	-116.467041	-83.435730	107.000000
1679471395.101000	-157.110443	-81.892067	107.000000
1679471465.401000	-173.447205	-79.146011	107.000000
1679471508.322000	179.534866	-76.850784	107.000000
1679471578.287000	173.266724	-73.402222	107.000000
1679471624.681000	170.057495	-70.653351	107.000000
1679471694.527000	167.173233	-67.006821	107.000000
1679471737.911000	165.653137	-64.338280	107.000000
1679471807.122000	164.123779	-60.655045	107.000000
1679471868.938000	162.987915	-56.890316	107.000000
1679471937.807000	162.211060	-53.189743	107.000000
1679471981.505000	161.772552	-50.450150	107.000000
1679472051.503000	161.362854	-46.669357	107.000000
1679472097.890000	161.139008	-43.762741	107.000000
1679472167.455000	160.966858	-40.008072	107.000000
1679472211.474000	160.926071	-37.244572	107.000000
1679472280.222000	160.945694	-33.536934	107.000000
1679472341.726000	161.056000	-29.774586	107.000000
1679472412.073000	161.271591	-25.988239	107.000000
1679472455.572000	161.451050	-23.275331	107.000000
1679472525.094000	161.795624	-19.554996	107.000000
1679472572.034000	162.108490	-16.655384	107.000000
1679472641.180000	162.583893	-12.975416	107.000000
1679472684.952000	162.979324	-10.284092	107.000000
1679472755.588000	163.615295	-6.557347	107.000000
1679472815.877000	164.304626	-2.971233	107.000000
1679472886.559000	165.121078	0.697705	107.000000
1679472929.667000	165.760727	3.288624	107.000000
1679473000.068000	166.753632	6.888080	107.000000
1679473045.834000	167.579086	9.575983	107.000000
1679473116.605000	168.793884	13.120451	107.000008
1679473159.696000	169.743134	15.608489	107.000000
1679473230.163000	171.219193	19.047411	107.000000
1679473317.057000	173.525375	23.657427	107.000000
1679473388.173000	175.463257	26.949558	107.000000
1679473431.008000	176.961014	29.204308	107.000000
1679473501.967000	179.307922	32.323181	107.000008
1679473548.123000	-178.735413	34.591595	107.000008
1679473617.672000	-175.932510	37.413593	107.000008
1679473661.757000	-173.654449	39.401463	107.000000
1679473731.327000	-170.257294	41.933067	107.000000
1679473792.584000	-166.475876	44.261078	107.000000
1679473862.587000	-162.281006	46.371479	107.000000
1679473906.340000	-158.963074	47.740005	107.000000
1679473976.070000	-154.076691	49.336067	107.000000
1679474022.359000	-150.055695	50.334328	107.000000
1679474092.609000	-144.522491	51.328213	107.000000
1679474136.203000	-140.371765	51.795647	107.000000
1679474206.173000	-134.516724	52.085278	107.000000
1679474267.058000	-128.701050	51.961548	107.000000
1679474337.239000	-122.919510	51.421955	107.000000
1679474380.846000	-118.858810	50.790794	107.000000
1679474450.543000	-113.551422	49.584957	107.000000
1679474497.074000	-109.675552	48.424805	107.000000
1679474566.936000	-105.021759	46.628078	107.000000
1679474610.859000	-101.871185	45.141563	106.999992
1679474680.255000	-97.948792	42.905750	106.999992
1679474741.887000	-94.374512	40.431370	107.000000
1679474811.314000	-91.210083	37.791351	107.000000
